nomber,name,stt,str,mtt,mtr,sft,sfr,mft,mfr,tt,sttx,strx,ttx,flag,level,dof,year1,year2,years,both_moves,qcks,sr
2,Amigo,t.b.4 ,r.c.4 ,t.c ,r.c ,no,no,no,no,a.1 ,1,1,1,2,5,3,2011,2021,2011-2021,yes,yes,no
3,AT1s,t.b.4 ,no,no,no,no,no,no,no,exc,1,1,1,1,1,4,2013,no,2013,no,no,no
4,AT2.1s,t.b.4 ,no,no,no,t.b.2 ,no,no,no,exc,1,1,1,1,1,4,2015,no,2015,no,no,no
5,AT2.2s,t.b.4 ,no,no,no,t.b.2 ,no,no,no,exc,1,1,1,1,1,4,2017,no,2017,no,no,no
6,BA1.1,t.b.4 ,r.c.1 ,t.b.2 ,r.b.2 ,t.b.2 ,r.b.2 ,t.a.1 ,r.a.1 ,no,1,1,1,1,1,2,2016,2017,2016-2017,yes,no,no
7,BA1.2,t.b.4 ,r.c.2 ,t.a.1.2 ,r.a.1.2 ,t.b.2 ,r.b.2 ,t.a.1 ,r.a.1 ,no,1,1,1,1,1,2,2018,no,2018,yes,no,no
8,BA1.2s,t.b.4 ,r.c.2 ,no,no,t.b.2 ,r.b.2 ,no,no,no,1,1,1,1,1,2,2018,no,2018,yes,no,no
9,BA1.3,t.b.4 ,r.c.2 ,t.a.1.2 ,r.a.1.2 ,t.b.2 ,r.b.2 ,t.b.1 ,no,no,1,1,1,1,1,2,2021,no,2021,yes,no,no
10,BA2.1,t.b.5 ,r.c.1 ,t.b.2 ,r.b.2 ,t.b.2 ,no,t.a.1 ,no,no,2,2,1,1,1,4,2019,no,2019,yes,no,no
11,BA2.1s,t.b.5 ,r.c.1 ,no,no,t.b.2 ,r.b.2 ,no,no,no,2,2,1,2,1,4,2017,2018,2017-2018,yes,no,no
12,BA3.1         (RobEnt),t.b.5 ,r.c.1 ,t.b.2 ,r.b.2 ,t.b.2 ,no,t.a.1 ,r.a.1 ,no,2,2,1,6,0,4,2018,2020,2018-2020,yes,no,no
13,CH1.1,t.b.4 ,no,t.b.2 ,r.b.2 ,no,no,no,no,a.1 ,1,1,1,1,1,2,2016,no,2016,no,no,no
